SID,bp_delta_abs_mean_W_C,bp_delta_rel_mean_W_C,bp_theta_abs_mean_W_C,bp_theta_rel_mean_W_C,bp_alpha_abs_mean_W_C,bp_alpha_rel_mean_W_C,bp_delta_abs_mean_N1_C,bp_delta_rel_mean_N1_C,bp_theta_abs_mean_N1_C,bp_theta_rel_mean_N1_C,bp_alpha_abs_mean_N1_C,bp_alpha_rel_mean_N1_C,bp_delta_abs_mean_N2_C,bp_delta_rel_mean_N2_C,bp_theta_abs_mean_N2_C,bp_theta_rel_mean_N2_C,bp_alpha_abs_mean_N2_C,bp_alpha_rel_mean_N2_C,bp_delta_abs_mean_N3_C,bp_delta_rel_mean_N3_C,bp_delta_abs_slope_N3_C,bp_theta_abs_mean_N3_C,bp_theta_rel_mean_N3_C,bp_alpha_abs_mean_N3_C,bp_alpha_rel_mean_N3_C,bp_delta_abs_mean_R_C,bp_delta_rel_mean_R_C,bp_theta_abs_mean_R_C,bp_theta_rel_mean_R_C,bp_alpha_abs_mean_R_C,bp_alpha_rel_mean_R_C
bi0045,18.354645677312245,0.30659719378680866,11.722246779437368,0.07501704637166434,11.476370770936912,0.08054849135897364,15.321449150951327,0.3282824576187277,10.695160730044902,0.12027483416777782,9.837637098237511,0.10233746426177653,17.15965115856044,0.3790855153258523,11.816914644986388,0.11627790381563176,10.360594550343249,0.08410364334335944,21.258321185435896,0.46455945373269036,0.2171097685032928,13.216856859231394,0.0759486036728534,8.213309828279838,0.02558940087240091,16.09641183530512,0.3471100256906085,10.815077213204255,0.11113817774508336,9.259096190070615,0.07948276235613308
bi0046,16.488767595402525,0.3022948299208519,9.938628602963368,0.07761742013632116,9.858906492885499,0.09932260376050817,12.69236469685591,0.3437378639529212,8.041734498115584,0.12635632076079628,8.419836435732803,0.15209888385195097,16.423299814519495,0.4389309009122012,10.31007880734455,0.11434862122775123,9.013197782427998,0.09478756652502883,20.98300432525044,0.4363439275540439,-0.47260230687585936,11.341626784571634,0.04848902660458162,7.342148355281871,0.01975617419477909,12.515748613905895,0.375811999196101,7.2781533471888205,0.12209977051713396,5.3426887400487795,0.08293070538715888
bi0048,18.019679114960322,0.26946052104595014,14.65366840365783,0.14913223934007638,14.01198115265796,0.1476496984776374,15.141711678829578,0.30470190118706103,12.533263405826565,0.1851225640895164,10.583415045822301,0.12162483581796128,17.839508769118712,0.369770870672339,13.308589629115437,0.1438473089086883,9.780383107941933,0.06927923060810635,20.023739558747234,0.3916419966473186,-0.3609181421199763,12.517561645178143,0.07087406516550432,8.108017872637065,0.02578893541202013,15.15252048588805,0.31636459001824285,11.66419399222363,0.1613564730790932,9.90983782889972,0.10917128550617056
bi0049,18.001699163929217,0.30580793887744084,13.30447786983916,0.11671988404936878,12.777574338370915,0.11190489648246063,12.455438083111456,0.28376604009143214,10.387492684848842,0.18196320033864283,10.39696362628118,0.18111995050024676,16.917430748475187,0.39809508651581044,12.281009041480479,0.1407861579385792,11.04486817709321,0.1103599333697519,19.754051826411107,0.3867813004550828,-0.6562899298112845,12.717654061877747,0.07840669135659441,10.046506537865932,0.043475166247493674,12.710259089412542,0.31285597704750956,10.145241606931176,0.17695764743516434,9.242276437875377,0.1467987161432525
bi0050,15.54530417216238,0.19678501349579233,15.750713614495194,0.22673192638790973,16.332383124900264,0.2589310105601185,15.820774636584716,0.24848078643681945,16.89500336950326,0.33128488678150325,13.567737020534496,0.15593889405360337,18.700561759563538,0.4264170761880431,14.931536291391247,0.19006305845822394,10.371949641387385,0.07093027927107512,21.36401403280503,0.4477486459796164,-0.2312667800774378,14.231848554190279,0.08979051793008701,8.77781099703216,0.026058857544261033,15.21381067800147,0.37261321325860913,13.666547810764301,0.26347868775632793,10.810450407673255,0.1397395963859063
bi0052,17.91016244438877,0.268843364637674,13.605126744608722,0.10492076032534442,14.34403759716472,0.1364594056956535,12.960295903448323,0.29592051229327176,11.557223522950679,0.20707384322397718,10.542501552496198,0.1718051618045533,18.524932137898773,0.46312925547316935,12.745502946064878,0.12512996573256044,10.34707674519483,0.07365652779456315,22.05205872266713,0.47018884788617754,-0.787336057159045,14.163442367278922,0.07827514640531563,10.046985994190742,0.03249015851013855,13.219126044514992,0.3402845016270264,9.468660180712321,0.14885403034655129,7.902967018042874,0.10872532956946103
bi0054,18.3217187682203,0.25070212850979207,17.093982657794644,0.1969518794388831,17.157796336943097,0.2172706699603613,15.167549412429096,0.2838808001479498,15.01200094171417,0.2710052256493862,14.315639659750723,0.2316396511064278,19.45321017945296,0.4441014617208784,15.666205848204251,0.18744299364398279,13.482662410923975,0.11704740209196901,22.134354658206085,0.4829704756014635,-0.07806857995010809,16.602415995193958,0.1380681435320684,12.159451810200366,0.05471902602953478,14.90285159570583,0.32311161641927794,13.526049835297668,0.23724265747385134,12.378895672115478,0.1837565336623356
bi0055,16.391061080489184,0.24246287916646847,13.865396992270304,0.1487076641097242,13.95164523184672,0.13892805786230783,13.254454534365264,0.3412610876813164,11.672030733768086,0.24576091153597474,8.115431290557803,0.10950667314823538,16.210884875083984,0.4220742230936721,12.342425738830563,0.18086201462419182,8.190254911030681,0.0744523831410187,,,,,,,,12.547344205709255,0.34304278248528186,10.15253496086995,0.2088348392887382,7.226664774298576,0.10389295575202263
bi0060,15.605865581403616,0.3055019242535275,11.472389612821923,0.13419363517179345,9.859603616241762,0.09498784828061768,12.185463970861651,0.3120635356974372,10.488011046158665,0.2146534638748424,7.319878313147404,0.10353757537783254,16.564704279168094,0.40575393549792227,12.1692591698011,0.1532970732311592,7.948012660730222,0.06047046514566397,19.564973708712227,0.4009533583238667,-0.3647082773524429,13.381566366299396,0.0985804768461447,7.680253114869644,0.026921482089551092,12.276278139217137,0.3360807805059387,8.910172673537408,0.1662392363531785,6.082292599074275,0.08606499813907338
bi0063,19.300684320679597,0.30668172353911116,13.982350702647034,0.10390869669937265,12.953795520758007,0.09053247981552207,16.36321813857535,0.3285861672420435,14.021596288909638,0.19303438074448948,12.152102317564248,0.12837770770987317,20.470973151907263,0.4082148184013501,15.847624532892997,0.14538975054731756,12.851557352273296,0.07378300118063304,24.64625790244584,0.47138242223237187,-0.19602586604473424,18.199587241026,0.10987053666759017,13.85355447390823,0.04220448116019287,18.035947510225075,0.3706030690225515,15.199758167632398,0.19878412567140524,11.322050694825874,0.08157983724165721
